id,covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
1025,0,1,Male,3,3,White,2,Michigan,East North Central,Midwest
1026,1,1,Female,2,4,White,2,Utah,Mountain,West
1027,0,1,Female,4,3,Black,2,Missouri,West North Central,Midwest
1028,1,1,Male,5,3,White,2,Georgia,South Atlantic,South
1029,1,1,Female,2,2,Other,1,California,Pacific,West
1030,1,1,Female,1,1,White,1,Utah,Mountain,West
1031,1,1,Female,NA,NA,NA,1,New York,Mid-Atlantic,Northeast
1032,1,1,NA,4,3,White,2,Massachusetts,New England,Northeast
1033,1,0,Female,3,2,Black,1,Ohio,East North Central,Midwest
1034,1,0,Female,1,2,White,1,Utah,Mountain,West
1035,1,1,Male,1,2,Black,3,Virginia,South Atlantic,South
1036,1,1,Male,1,2,White,1,Utah,Mountain,West
1037,1,1,Female,2,1,Hispanic,1,California,Pacific,West
1038,1,1,Female,5,2,Black,1,Ohio,East North Central,Midwest
1039,0,1,Female,4,1,Hispanic,2,New York,Mid-Atlantic,Northeast
1040,1,1,Female,2,4,White,3,Michigan,East North Central,Midwest
1041,1,1,Female,1,2,White,3,Virginia,South Atlantic,South
1042,1,1,Female,2,5,Asian,2,Connecticut,New England,Northeast
1043,1,1,Female,3,4,White,2,Iowa,West North Central,Midwest
1044,1,1,Male,4,5,Hispanic,4,California,Pacific,West
1045,1,0,NA,2,4,Black,2,Washington,Pacific,West
1046,1,1,Male,4,1,White,2,Tennessee,East South Central,South
1047,0,0,Female,3,2,White,2,Arizona,Mountain,West
1048,1,0,NA,4,3,Other,3,Kentucky,East South Central,South
