id,covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
687,1,1,Female,4,2,White,3,Texas,West South Central,South
688,1,1,Female,5,3,White,2,California,Pacific,West
689,1,1,Female,4,3,White,2,Texas,West South Central,South
690,1,1,Female,4,1,White,3,South Carolina,South Atlantic,South
691,1,1,Female,4,5,White,2,Texas,West South Central,South
692,1,1,Male,5,4,White,3,Texas,West South Central,South
693,1,0,Female,4,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
694,0,1,Female,3,3,White,2,Texas,West South Central,South
695,0,1,Female,5,NA,NA,1,South Carolina,South Atlantic,South
696,1,1,Male,4,4,White,2,Texas,West South Central,South
697,0,1,Female,5,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
698,1,1,Male,5,3,White,2,Texas,West South Central,South
699,1,1,Female,5,4,White,2,Texas,West South Central,South
700,1,1,Female,1,2,White,1,Michigan,East North Central,Midwest
701,0,1,Male,4,3,White,2,Michigan,East North Central,Midwest
702,0,1,Female,2,2,White,2,North Carolina,South Atlantic,South
703,1,1,Male,3,1,White,1,Michigan,East North Central,Midwest
704,1,1,Male,5,5,White,3,Texas,West South Central,South
705,1,0,Male,4,1,Hispanic,2,California,Pacific,West
706,0,1,Female,2,1,White,2,Michigan,East North Central,Midwest
707,1,1,Female,4,5,White,3,California,Pacific,West
708,1,1,Female,4,4,White,3,Florida,South Atlantic,South
709,1,1,Male,4,2,White,2,Tennessee,East South Central,South
710,1,1,Female,4,3,White,3,Illinois,East North Central,Midwest
711,1,1,Female,5,1,White,2,Georgia,South Atlantic,South
712,0,1,Male,4,2,White,1,Tennessee,East South Central,South
713,1,1,Female,4,4,White,2,Michigan,East North Central,Midwest
714,1,1,Female,4,1,White,2,Ohio,East North Central,Midwest
715,1,1,Male,2,4,Hispanic,2,Illinois,East North Central,Midwest
716,1,1,Female,3,3,Black,1,Michigan,East North Central,Midwest
717,0,1,Male,3,2,White,2,Michigan,East North Central,Midwest
718,1,1,Female,4,2,White,1,New York,Mid-Atlantic,Northeast
719,1,1,Female,5,4,White,4,Oregon,Pacific,West
720,1,1,Female,5,5,White,3,California,Pacific,West
721,1,1,NA,2,3,White,1,New Mexico,Mountain,West
722,0,1,Female,5,5,NA,1,Oregon,Pacific,West
723,1,1,Female,4,2,White,2,Utah,Mountain,West
724,1,1,Female,2,4,Asian,3,Pennsylvania,Mid-Atlantic,Northeast
725,1,1,Female,4,3,White,2,Colorado,Mountain,West
726,1,1,Female,4,3,White,2,Ohio,East North Central,Midwest
727,1,1,Female,4,5,White,2,Texas,West South Central,South
728,1,1,Male,5,4,White,4,Texas,West South Central,South
729,0,1,Female,5,2,White,2,California,Pacific,West
730,1,1,Female,3,4,Black,2,Virginia,South Atlantic,South
731,1,0,Male,4,2,NA,2,Alabama,East South Central,South
732,1,1,Female,4,5,White,3,Washington,Pacific,West
733,1,1,Female,5,3,White,3,Washington,Pacific,West
734,0,0,Female,5,3,Hispanic,1,Texas,West South Central,South
735,0,1,Female,4,4,White,2,Delaware,South Atlantic,South
736,1,1,Male,5,1,White,2,California,Pacific,West
737,1,1,Female,4,1,White,2,South Carolina,South Atlantic,South
738,1,1,Female,5,1,White,2,Ohio,East North Central,Midwest
739,1,1,Male,5,5,White,3,Oregon,Pacific,West
740,0,1,Female,2,2,Hispanic,1,Oklahoma,West South Central,South
741,1,1,Male,4,4,White,2,New York,Mid-Atlantic,Northeast
742,1,1,Female,2,4,White,2,Michigan,East North Central,Midwest
743,1,0,Female,2,2,Black,2,Kentucky,East South Central,South
744,0,1,Female,4,2,White,3,Michigan,East North Central,Midwest
745,1,1,Female,2,2,Other,1,California,Pacific,West
746,1,1,Male,5,4,White,2,NA,NA,NA
747,1,1,Male,1,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
748,1,1,Female,4,4,White,2,Michigan,East North Central,Midwest
749,0,1,Female,4,4,Hispanic,3,Washington,Pacific,West
750,1,1,Female,5,4,White,1,Michigan,East North Central,Midwest
751,1,0,Male,3,1,White,2,Mississippi,East South Central,South
752,0,1,Female,3,2,White,1,Michigan,East North Central,Midwest
753,1,1,Male,2,2,Other,1,California,Pacific,West
754,1,0,Female,3,1,White,2,New York,Mid-Atlantic,Northeast
755,1,1,Female,3,5,Black,1,Virginia,South Atlantic,South
756,0,0,Female,2,3,Hispanic,3,Florida,South Atlantic,South
757,1,1,Male,5,4,White,2,Michigan,East North Central,Midwest
758,1,1,Male,4,2,White,3,Wisconsin,East North Central,Midwest
759,1,1,Male,5,3,White,2,Ohio,East North Central,Midwest
760,1,1,Female,3,5,White,2,Mississippi,East South Central,South
761,1,1,Male,4,5,White,4,New York,Mid-Atlantic,Northeast
762,1,1,Male,5,4,White,2,Michigan,East North Central,Midwest
763,1,1,Female,3,5,Hispanic,2,New York,Mid-Atlantic,Northeast
764,1,1,Female,3,1,Hispanic,2,NA,NA,NA
765,0,1,Male,4,3,Hispanic,2,Texas,West South Central,South
766,1,1,Female,2,5,White,3,Minnesota,West North Central,Midwest
767,1,1,Female,4,4,White,3,New York,Mid-Atlantic,Northeast
768,1,0,Female,3,2,Black,1,Connecticut,New England,Northeast
769,1,1,Female,2,4,Black,2,Maryland,South Atlantic,South
770,1,1,Female,4,1,White,2,Missouri,West North Central,Midwest
771,1,1,Male,4,4,White,3,Illinois,East North Central,Midwest
772,1,1,Male,3,2,NA,3,Michigan,East North Central,Midwest
773,1,1,Female,4,4,White,2,Kentucky,East South Central,South
774,1,1,Female,4,4,White,2,Maryland,South Atlantic,South
775,1,1,Female,4,4,White,3,South Carolina,South Atlantic,South
776,1,1,Female,5,3,White,2,Michigan,East North Central,Midwest
777,0,1,Male,4,NA,White,2,Tennessee,East South Central,South
778,0,1,Male,2,1,Hispanic,3,Maryland,South Atlantic,South
779,1,1,Female,4,2,White,1,Illinois,East North Central,Midwest
780,1,0,Female,3,2,White,3,Michigan,East North Central,Midwest
781,1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
782,0,0,Female,4,2,Hispanic,1,North Carolina,South Atlantic,South
783,1,1,Female,5,3,White,2,Texas,West South Central,South
784,1,1,Male,5,5,White,3,Virginia,South Atlantic,South
785,1,1,Female,3,4,Black,2,Maryland,South Atlantic,South
786,1,1,Female,4,4,White,2,New Jersey,Mid-Atlantic,Northeast
787,1,1,Female,4,3,White,2,Illinois,East North Central,Midwest
788,1,1,Female,4,4,White,3,NA,NA,NA
789,0,0,Female,3,4,White,2,Michigan,East North Central,Midwest
790,0,1,Female,2,1,Hispanic,3,Iowa,West North Central,Midwest
791,1,1,Male,4,4,White,2,South Carolina,South Atlantic,South
792,1,1,Female,4,2,White,3,California,Pacific,West
793,1,1,Male,5,2,NA,3,California,Pacific,West
794,0,1,Female,3,3,White,2,North Carolina,South Atlantic,South
795,1,1,Female,4,2,White,2,Kentucky,East South Central,South
796,1,1,Female,2,1,White,2,Michigan,East North Central,Midwest
797,1,1,Female,5,2,White,2,North Carolina,South Atlantic,South
798,1,1,Female,2,3,White,2,Wisconsin,East North Central,Midwest
799,0,0,Female,4,3,Black,1,New York,Mid-Atlantic,Northeast
800,1,1,Female,2,2,White,1,Maine,New England,Northeast
801,1,1,Female,4,3,White,2,California,Pacific,West
802,1,0,Female,4,2,White,2,Kansas,West North Central,Midwest
803,1,1,Male,5,5,White,3,Tennessee,East South Central,South
804,1,1,Female,5,3,White,2,Ohio,East North Central,Midwest
805,0,0,Female,5,4,Black,2,Michigan,East North Central,Midwest
806,1,1,Male,5,1,White,2,Tennessee,East South Central,South
